iter	Passed	Remaining
0	60	60926
1	64	32228
2	68	22761
3	71	17849
4	74	14898
5	77	12883
6	81	11573
7	84	10525
8	88	9708
9	91	9058
10	95	8542
11	98	8141
12	102	7792
13	105	7450
14	109	7200
15	112	6945
16	116	6750
17	120	6559
18	123	6356
19	126	6204
20	130	6088
21	134	5959
22	137	5830
23	140	5706
24	143	5597
25	147	5524
26	151	5445
27	154	5356
28	158	5291
29	161	5232
30	164	5157
31	168	5087
32	170	5010
33	174	4945
34	178	4921
35	181	4865
36	184	4805
37	188	4759
38	190	4702
39	194	4675
40	198	4634
41	201	4590
42	204	4549
43	207	4502
44	210	4472
45	214	4438
46	216	4397
47	220	4368
48	223	4330
49	226	4305
50	230	4284
51	233	4252
52	236	4219
53	239	4191
54	242	4161
55	245	4145
56	249	4128
57	252	4102
58	256	4086
59	259	4057
60	262	4047
61	265	4023
62	268	3998
63	271	3975
64	275	3956
65	278	3939
66	282	3928
67	285	3915
68	288	3893
69	291	3874
70	294	3858
71	297	3836
72	300	3818
73	303	3802
74	306	3784
75	310	3773
76	313	3754
77	317	3747
78	319	3730
79	322	3713
80	326	3699
81	329	3683
82	332	3674
83	335	3658
84	338	3641
85	341	3629
86	344	3614
87	347	3604
88	351	3593
89	354	3581
90	357	3566
91	360	3555
92	363	3547
93	367	3537
94	369	3523
95	372	3510
96	376	3500
97	379	3493
98	382	3482
99	385	3471
100	388	3460
101	392	3452
102	395	3444
103	398	3436
104	402	3428
105	405	3418
106	408	3405
107	411	3402
108	415	3394
109	418	3383
110	421	3373
111	424	3361
112	427	3357
113	430	3347
114	433	3338
115	437	3332
116	439	3320
117	443	3318
118	446	3308
119	449	3299
120	453	3291
121	456	3288
122	460	3281
123	463	3274
124	466	3266
125	469	3255
126	472	3245
127	476	3243
128	479	3239
129	482	3231
130	486	3224
131	488	3214
132	492	3211
133	496	3206
134	499	3197
135	501	3188
136	505	3182
137	509	3182
138	512	3176
139	515	3168
140	518	3160
141	521	3150
142	524	3145
143	528	3139
144	531	3131
145	534	3125
146	537	3117
147	541	3114
148	544	3110
149	547	3104
150	550	3096
151	554	3090
152	558	3090
153	561	3085
154	564	3077
155	567	3072
156	570	3064
157	574	3064
158	578	3058
159	581	3051
160	584	3044
161	587	3037
162	591	3036
163	595	3034
164	599	3034
165	603	3030
166	607	3027
167	610	3022
168	613	3016
169	616	3009
170	619	3002
171	623	2999
172	627	2997
173	630	2993
174	633	2984
175	636	2978
176	639	2975
177	643	2971
178	646	2965
179	649	2958
180	652	2952
181	656	2951
182	660	2948
183	663	2942
184	666	2936
185	669	2930
186	673	2928
187	676	2922
188	679	2917
189	683	2913
190	687	2910
191	690	2905
192	693	2898
193	696	2892
194	699	2886
195	702	2883
196	708	2886
197	712	2886
198	716	2885
199	720	2883
200	724	2881
201	728	2876
202	731	2870
203	734	2865
204	738	2862
205	741	2858
206	744	2851
207	747	2845
208	751	2842
209	754	2839
210	758	2834
211	761	2830
212	765	2828
213	769	2825
214	772	2820
215	775	2814
216	778	2808
217	781	2802
218	784	2799
219	788	2795
220	791	2790
221	795	2789
222	798	2782
223	803	2782
224	806	2777
225	809	2772
226	812	2766
227	815	2760
228	819	2758
229	822	2753
230	825	2748
231	828	2741
232	830	2735
233	835	2735
234	839	2731
235	842	2726
236	845	2721
237	848	2715
238	852	2713
239	855	2708
240	858	2703
241	861	2697
242	864	2694
243	868	2691
244	872	2689
245	875	2683
246	878	2678
247	881	2673
248	885	2671
249	889	2668
250	892	2662
251	895	2657
252	898	2653
253	902	2650
254	905	2645
255	909	2642
256	912	2637
257	916	2634
258	919	2630
259	922	2625
260	925	2620
261	928	2615
262	931	2611
263	935	2607
264	939	2605
265	942	2600
266	945	2595
267	949	2594
268	953	2590
269	956	2586
270	959	2581
271	964	2580
272	967	2575
273	969	2569
274	973	2565
275	976	2560
276	978	2554
277	982	2552
278	986	2548
279	989	2543
280	992	2539
281	995	2535
282	999	2533
283	1002	2528
284	1005	2523
285	1008	2518
286	1011	2513
287	1015	2511
288	1019	2507
289	1022	2503
290	1025	2498
291	1028	2494
292	1032	2492
293	1036	2488
294	1039	2483
295	1042	2478
296	1044	2473
297	1048	2470
298	1053	2468
299	1056	2464
300	1059	2460
301	1063	2457
302	1066	2453
303	1069	2449
304	1072	2444
305	1076	2440
306	1078	2435
307	1082	2432
308	1085	2427
309	1088	2422
310	1091	2419
311	1095	2414
312	1098	2411
313	1102	2407
314	1105	2403
315	1107	2398
316	1110	2393
317	1114	2389
318	1117	2385
319	1120	2380
320	1123	2377
321	1126	2371
322	1129	2368
323	1133	2364
324	1136	2360
325	1139	2355
326	1141	2350
327	1145	2346
328	1148	2341
329	1151	2337
330	1154	2332
331	1157	2328
332	1160	2323
333	1162	2318
334	1166	2314
335	1169	2310
336	1172	2306
337	1175	2302
338	1179	2299
339	1182	2295
340	1186	2292
341	1189	2288
342	1192	2284
343	1195	2280
344	1198	2276
345	1202	2272
346	1205	2268
347	1208	2264
348	1212	2261
349	1215	2256
350	1217	2251
351	1220	2247
352	1223	2242
353	1227	2239
354	1230	2235
355	1232	2230
356	1235	2226
357	1238	2221
358	1244	2222
359	1250	2222
360	1254	2220
361	1259	2219
362	1262	2216
363	1266	2212
364	1269	2207
365	1272	2204
366	1276	2201
367	1280	2198
368	1283	2194
369	1286	2189
370	1289	2186
371	1293	2184
372	1297	2180
373	1300	2176
374	1303	2172
375	1307	2169
376	1311	2167
377	1316	2165
378	1321	2165
379	1325	2163
380	1329	2160
381	1333	2156
382	1336	2153
383	1339	2148
384	1344	2147
385	1348	2144
386	1351	2140
387	1354	2137
388	1358	2134
389	1362	2130
390	1365	2126
391	1368	2122
392	1371	2118
393	1375	2115
394	1379	2113
395	1383	2109
396	1385	2105
397	1389	2102
398	1393	2098
399	1396	2094
400	1399	2090
401	1402	2087
402	1407	2084
403	1410	2081
404	1413	2076
405	1416	2072
406	1419	2067
407	1422	2064
408	1426	2061
409	1429	2056
410	1432	2052
411	1435	2048
412	1438	2044
413	1442	2041
414	1445	2037
415	1448	2032
416	1450	2028
417	1455	2026
418	1459	2024
419	1462	2020
420	1465	2015
421	1469	2012
422	1473	2010
423	1477	2007
424	1481	2004
425	1487	2004
426	1491	2001
427	1494	1997
428	1498	1994
429	1501	1990
430	1505	1987
431	1508	1983
432	1512	1980
433	1515	1976
434	1519	1973
435	1523	1970
436	1526	1966
437	1529	1962
438	1533	1959
439	1537	1957
440	1541	1953
441	1544	1949
442	1547	1945
443	1550	1941
444	1554	1939
445	1558	1936
446	1561	1932
447	1564	1928
448	1568	1925
449	1572	1922
450	1576	1918
451	1579	1914
452	1582	1911
453	1586	1908
454	1590	1905
455	1593	1901
456	1596	1897
457	1599	1893
458	1604	1890
459	1607	1887
460	1610	1883
461	1613	1878
462	1617	1875
463	1620	1872
464	1624	1868
465	1627	1864
466	1630	1860
467	1634	1858
468	1638	1855
469	1641	1851
470	1645	1848
471	1648	1844
472	1652	1841
473	1656	1837
474	1660	1834
475	1662	1830
476	1666	1826
477	1669	1823
478	1673	1819
479	1676	1815
480	1679	1811
481	1682	1807
482	1686	1805
483	1690	1801
484	1693	1798
485	1696	1794
486	1699	1790
487	1703	1787
488	1706	1783
489	1709	1779
490	1713	1775
491	1716	1772
492	1722	1771
493	1737	1779
494	1747	1783
495	1752	1780
496	1757	1778
497	1763	1778
498	1768	1775
499	1772	1772
500	1775	1768
501	1778	1764
502	1780	1759
503	1784	1756
504	1788	1752
505	1790	1748
506	1793	1744
507	1796	1739
508	1800	1736
509	1804	1733
510	1806	1729
511	1809	1724
512	1812	1720
513	1816	1717
514	1819	1713
515	1822	1709
516	1825	1705
517	1828	1701
518	1831	1697
519	1835	1694
520	1839	1691
521	1842	1687
522	1845	1682
523	1848	1679
524	1852	1675
525	1855	1671
526	1858	1667
527	1861	1663
528	1864	1660
529	1868	1656
530	1871	1653
531	1874	1649
532	1877	1645
533	1881	1641
534	1885	1638
535	1888	1634
536	1890	1630
537	1894	1626
538	1896	1622
539	1901	1619
540	1904	1615
541	1907	1612
542	1910	1608
543	1914	1604
544	1918	1601
545	1921	1597
546	1924	1593
547	1927	1589
548	1930	1586
549	1934	1582
550	1937	1578
551	1940	1574
552	1942	1570
553	1947	1567
554	1950	1563
555	1953	1560
556	1956	1556
557	1959	1552
558	1962	1548
559	1966	1545
560	1970	1541
561	1973	1537
562	1976	1533
563	1979	1529
564	1982	1526
565	1985	1522
566	1989	1518
567	1992	1515
568	1995	1511
569	1998	1507
570	2001	1504
571	2005	1500
572	2008	1497
573	2011	1493
574	2015	1489
575	2018	1485
576	2021	1482
577	2024	1478
578	2028	1474
579	2030	1470
580	2033	1466
581	2036	1462
582	2039	1459
583	2042	1455
584	2045	1451
585	2048	1447
586	2051	1443
587	2054	1439
588	2057	1435
589	2060	1432
590	2064	1428
591	2067	1424
592	2070	1421
593	2074	1417
594	2076	1413
595	2080	1410
596	2083	1406
597	2086	1402
598	2089	1399
599	2092	1395
600	2095	1391
601	2099	1387
602	2102	1384
603	2105	1380
604	2108	1376
605	2111	1373
606	2115	1369
607	2118	1365
608	2121	1361
609	2124	1358
610	2127	1354
611	2131	1351
612	2134	1347
613	2137	1343
614	2140	1339
615	2143	1336
616	2146	1332
617	2150	1329
618	2153	1325
619	2156	1321
620	2160	1318
621	2163	1314
622	2166	1310
623	2169	1307
624	2172	1303
625	2175	1299
626	2178	1295
627	2181	1292
628	2184	1288
629	2188	1285
630	2191	1281
631	2194	1277
632	2197	1274
633	2200	1270
634	2203	1266
635	2206	1262
636	2209	1259
637	2212	1255
638	2215	1251
639	2218	1247
640	2221	1244
641	2225	1240
642	2228	1237
643	2231	1233
644	2234	1229
645	2237	1226
646	2240	1222
647	2243	1218
648	2247	1215
649	2251	1212
650	2254	1208
651	2256	1204
652	2259	1200
653	2262	1197
654	2265	1193
655	2269	1189
656	2272	1186
657	2275	1182
658	2278	1179
659	2281	1175
660	2285	1171
661	2288	1168
662	2291	1164
663	2294	1160
664	2297	1157
665	2300	1153
666	2303	1149
667	2306	1146
668	2309	1142
669	2312	1139
670	2316	1135
671	2318	1131
672	2321	1128
673	2325	1124
674	2327	1120
675	2331	1117
676	2334	1113
677	2337	1110
678	2340	1106
679	2344	1103
680	2347	1099
681	2350	1095
682	2353	1092
683	2356	1088
684	2359	1085
685	2362	1081
686	2365	1077
687	2369	1074
688	2372	1070
689	2375	1067
690	2378	1063
691	2382	1060
692	2385	1056
693	2388	1053
694	2391	1049
695	2394	1045
696	2397	1042
697	2401	1038
698	2403	1035
699	2406	1031
700	2410	1027
701	2412	1024
702	2415	1020
703	2418	1016
704	2421	1013
705	2424	1009
706	2428	1006
707	2432	1003
708	2435	999
709	2439	996
710	2442	992
711	2446	989
712	2449	985
713	2452	982
714	2454	978
715	2458	975
716	2461	971
717	2465	968
718	2468	964
719	2471	961
720	2475	958
721	2479	954
722	2482	951
723	2485	947
724	2489	944
725	2493	940
726	2496	937
727	2499	934
728	2502	930
729	2507	927
730	2510	923
731	2513	920
732	2517	917
733	2520	913
734	2524	910
735	2528	906
736	2532	903
737	2537	900
738	2542	897
739	2546	894
740	2550	891
741	2556	888
742	2560	885
743	2564	882
744	2568	879
745	2571	875
746	2575	872
747	2578	868
748	2581	865
749	2584	861
750	2588	858
751	2591	854
752	2595	851
753	2598	847
754	2602	844
755	2606	841
756	2609	837
757	2612	834
758	2615	830
759	2618	826
760	2621	823
761	2625	819
762	2628	816
763	2632	813
764	2634	809
765	2638	806
766	2642	802
767	2645	799
768	2648	795
769	2651	791
770	2654	788
771	2658	785
772	2661	781
773	2664	778
774	2667	774
775	2670	770
776	2674	767
777	2677	764
778	2680	760
779	2683	756
780	2687	753
781	2691	750
782	2694	746
783	2697	743
784	2699	739
785	2703	735
786	2706	732
787	2709	728
788	2712	725
789	2715	721
790	2719	718
791	2722	715
792	2725	711
793	2728	708
794	2731	704
795	2735	701
796	2738	697
797	2742	694
798	2745	690
799	2748	687
800	2751	683
801	2755	680
802	2758	676
803	2761	673
804	2764	669
805	2768	666
806	2771	662
807	2774	659
808	2778	655
809	2781	652
810	2785	649
811	2788	645
812	2791	642
813	2795	638
814	2798	635
815	2802	631
816	2805	628
817	2808	624
818	2811	621
819	2814	617
820	2818	614
821	2821	611
822	2824	607
823	2828	604
824	2830	600
825	2834	597
826	2837	593
827	2840	590
828	2843	586
829	2846	583
830	2850	579
831	2853	576
832	2856	572
833	2859	569
834	2863	565
835	2866	562
836	2870	558
837	2873	555
838	2876	551
839	2879	548
840	2883	545
841	2886	541
842	2889	538
843	2892	534
844	2896	531
845	2900	527
846	2903	524
847	2906	520
848	2909	517
849	2911	513
850	2915	510
851	2918	507
852	2921	503
853	2925	500
854	2927	496
855	2931	493
856	2935	489
857	2937	486
858	2941	482
859	2944	479
860	2947	475
861	2950	472
862	2953	468
863	2957	465
864	2960	461
